Algoritmo,Cenario,TempoExecucao
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1494
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1207
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3586
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,381554
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1762
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1362
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2354
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,385119
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1465
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1199
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2163
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,398553
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1525
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1285
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2311
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,386365
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1751
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1316
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2556
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,383626
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1650
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1297
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2439
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,379023
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1710
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1241
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2311
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384758
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1527
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1287
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2478
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,378469
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1527
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1287
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2333
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,381407
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1527
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1295
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2313
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384706
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1552
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1290
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2336
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,381852
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1621
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1244
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2149
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,380646
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1433
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1199
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2375
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,383539
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1570
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1268
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2456
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384752
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1531
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1195
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2255
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,392249
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1639
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1395
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2631
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,399995
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2150
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1253
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2161
Bubble Sort,Cenário 3 - Vetor aleatório,375544
Merge Sort,Cenário 3 - Vetor aleatório,1522
Quick Sort,Cenário 3 - Vetor aleatório,1350
Shell Sort,Cenário 3 - Vetor aleatório,2357
Bubble Sort,Cenário 3 - Vetor aleatório,382744
Merge Sort,Cenário 3 - Vetor aleatório,1690
Quick Sort,Cenário 3 - Vetor aleatório,1356
Shell Sort,Cenário 3 - Vetor aleatório,2297
Bubble Sort,Cenário 3 - Vetor aleatório,382386
Merge Sort,Cenário 3 - Vetor aleatório,1667
Quick Sort,Cenário 3 - Vetor aleatório,1355
Shell Sort,Cenário 3 - Vetor aleatório,2300
Bubble Sort,Cenário 3 - Vetor aleatório,382857
Merge Sort,Cenário 3 - Vetor aleatório,1549
Quick Sort,Cenário 3 - Vetor aleatório,1340
Shell Sort,Cenário 3 - Vetor aleatório,2394
Bubble Sort,Cenário 3 - Vetor aleatório,381678
Merge Sort,Cenário 3 - Vetor aleatório,1445
Quick Sort,Cenário 3 - Vetor aleatório,1413
Shell Sort,Cenário 3 - Vetor aleatório,2532
Bubble Sort,Cenário 3 - Vetor aleatório,379270
Merge Sort,Cenário 3 - Vetor aleatório,1592
Quick Sort,Cenário 3 - Vetor aleatório,1321
Shell Sort,Cenário 3 - Vetor aleatório,2186
Bubble Sort,Cenário 3 - Vetor aleatório,381544
Merge Sort,Cenário 3 - Vetor aleatório,1653
Quick Sort,Cenário 3 - Vetor aleatório,1348
Shell Sort,Cenário 3 - Vetor aleatório,2321
Bubble Sort,Cenário 3 - Vetor aleatório,378099
Merge Sort,Cenário 3 - Vetor aleatório,1641
Quick Sort,Cenário 3 - Vetor aleatório,1556
Shell Sort,Cenário 3 - Vetor aleatório,2263
Bubble Sort,Cenário 3 - Vetor aleatório,375397
Merge Sort,Cenário 3 - Vetor aleatório,1447
Quick Sort,Cenário 3 - Vetor aleatório,1240
Shell Sort,Cenário 3 - Vetor aleatório,2202
Bubble Sort,Cenário 3 - Vetor aleatório,381647
Merge Sort,Cenário 3 - Vetor aleatório,1555
Quick Sort,Cenário 3 - Vetor aleatório,1378
Shell Sort,Cenário 3 - Vetor aleatório,3011
Bubble Sort,Cenário 3 - Vetor aleatório,378823
Merge Sort,Cenário 3 - Vetor aleatório,1525
Quick Sort,Cenário 3 - Vetor aleatório,1375
Shell Sort,Cenário 3 - Vetor aleatório,2468
Bubble Sort,Cenário 3 - Vetor aleatório,395916
Merge Sort,Cenário 3 - Vetor aleatório,1518
Quick Sort,Cenário 3 - Vetor aleatório,1321
Shell Sort,Cenário 3 - Vetor aleatório,3132
Bubble Sort,Cenário 3 - Vetor aleatório,392171
Merge Sort,Cenário 3 - Vetor aleatório,1448
Quick Sort,Cenário 3 - Vetor aleatório,1250
Shell Sort,Cenário 3 - Vetor aleatório,2400
Bubble Sort,Cenário 3 - Vetor aleatório,378248
Merge Sort,Cenário 3 - Vetor aleatório,1470
Quick Sort,Cenário 3 - Vetor aleatório,1265
Shell Sort,Cenário 3 - Vetor aleatório,2466
Bubble Sort,Cenário 3 - Vetor aleatório,380824
Merge Sort,Cenário 3 - Vetor aleatório,1462
Quick Sort,Cenário 3 - Vetor aleatório,1310
Shell Sort,Cenário 3 - Vetor aleatório,2569
Bubble Sort,Cenário 3 - Vetor aleatório,384302
Merge Sort,Cenário 3 - Vetor aleatório,1428
Quick Sort,Cenário 3 - Vetor aleatório,1390
Shell Sort,Cenário 3 - Vetor aleatório,2303
Bubble Sort,Cenário 3 - Vetor aleatório,375860
Merge Sort,Cenário 3 - Vetor aleatório,1512
Quick Sort,Cenário 3 - Vetor aleatório,1292
Shell Sort,Cenário 3 - Vetor aleatório,2247
Bubble Sort,Cenário 3 - Vetor aleatório,381280
Merge Sort,Cenário 3 - Vetor aleatório,1530
Quick Sort,Cenário 3 - Vetor aleatório,1249
Shell Sort,Cenário 3 - Vetor aleatório,2587
Bubble Sort,Cenário 3 - Vetor aleatório,380629
Merge Sort,Cenário 3 - Vetor aleatório,1490
Quick Sort,Cenário 3 - Vetor aleatório,1364
Shell Sort,Cenário 3 - Vetor aleatório,2177
Bubble Sort,Cenário 3 - Vetor aleatório,377212
Merge Sort,Cenário 3 - Vetor aleatório,1755
Quick Sort,Cenário 3 - Vetor aleatório,1279
Shell Sort,Cenário 3 - Vetor aleatório,2152
Bubble Sort,Cenário 3 - Vetor aleatório,391419
Merge Sort,Cenário 3 - Vetor aleatório,1512
Quick Sort,Cenário 3 - Vetor aleatório,1323
Shell Sort,Cenário 3 - Vetor aleatório,2328
Bubble Sort,Cenário 3 - Vetor aleatório,376249
Merge Sort,Cenário 3 - Vetor aleatório,1634
Quick Sort,Cenário 3 - Vetor aleatório,1295
Shell Sort,Cenário 3 - Vetor aleatório,2187
Bubble Sort,Cenário 3 - Vetor aleatório,384859
Merge Sort,Cenário 3 - Vetor aleatório,1450
Quick Sort,Cenário 3 - Vetor aleatório,1230
Shell Sort,Cenário 3 - Vetor aleatório,2251
Bubble Sort,Cenário 3 - Vetor aleatório,377699
Merge Sort,Cenário 3 - Vetor aleatório,1408
Quick Sort,Cenário 3 - Vetor aleatório,1224
Shell Sort,Cenário 3 - Vetor aleatório,2135
Bubble Sort,Cenário 3 - Vetor aleatório,393416
Merge Sort,Cenário 3 - Vetor aleatório,1746
Quick Sort,Cenário 3 - Vetor aleatório,1319
Shell Sort,Cenário 3 - Vetor aleatório,2311
Bubble Sort,Cenário 3 - Vetor aleatório,380298
Merge Sort,Cenário 3 - Vetor aleatório,1860
Quick Sort,Cenário 3 - Vetor aleatório,1555
Shell Sort,Cenário 3 - Vetor aleatório,2878
Bubble Sort,Cenário 3 - Vetor aleatório,383800
Merge Sort,Cenário 3 - Vetor aleatório,2453
Quick Sort,Cenário 3 - Vetor aleatório,1229
Shell Sort,Cenário 3 - Vetor aleatório,2553
Bubble Sort,Cenário 3 - Vetor aleatório,382399
Merge Sort,Cenário 3 - Vetor aleatório,1650
Quick Sort,Cenário 3 - Vetor aleatório,1385
